date,exports
1989-01,2751139080
1989-02,2262854556
1989-03,2846266468
1989-04,2398243853
1989-05,2832211961
1989-06,3685928316
1989-07,3200024700
1989-08,3364293736
1989-09,2951100517
1989-10,2744119764
1989-11,2575230707
1989-12,2771206052
1990-01,2279822697
1990-02,1974460602
1990-03,2231975909
1990-04,2558374314
1990-05,3231774810
1990-06,2509955243
1990-07,3081963921
1990-08,3061546504
1990-09,2592084719
1990-10,2332737929
1990-11,2664596423
1990-12,2894462969
1991-01,2929306371
1991-02,2269792477
1991-03,2612517898
1991-04,3023747172
1991-05,2911547911
1991-06,2810771386
1991-07,2561131698
1991-08,2804630892
1991-09,2069590372
1991-10,2655557830
1991-11,2457609156
1991-12,2514236280
1992-01,2568678733
1992-02,2388865590
1992-03,2886553797
1992-04,2681374803
1992-05,2915734414
1992-06,2954022594
1992-07,3441123535
1992-08,3024446393
1992-09,3016089684
1992-10,3220010036
1992-11,3276234044
1992-12,3419852221
1993-01,2813338500
1993-02,2889473005
1993-03,3508669214
1993-04,3027828512
1993-05,2884488074
1993-06,3238276306
1993-07,3423383514
1993-08,3502691494
1993-09,3444725580
1993-10,3240464764
1993-11,3171193415
1993-12,3410216669
1994-01,2747187653
1994-02,2778288879
1994-03,3350391558
1994-04,3634841763
1994-05,3862059965
1994-06,3727904800
1994-07,3738057136
1994-08,4282100334
1994-09,4162083280
1994-10,3842498153
1994-11,3706207709
1994-12,3713547632
1995-01,2980189648
1995-02,2951705224
1995-03,3798681210
1995-04,3393925048
1995-05,4204778920
1995-06,4119904081
1995-07,4004041602
1995-08,4558093534
1995-09,4166886329
1995-10,4405190260
1995-11,4047844579
1995-12,3875041979
1996-01,3472938473
1996-02,3404705497
1996-03,3408143883
1996-04,4271322377
1996-05,4505748028
1996-06,3839945609
1996-07,4458942508
1996-08,4380857474
1996-09,4115239467
1996-10,4187927360
1996-11,3911558859
1996-12,3789398623
1997-01,3684586329
1997-02,3145636591
1997-03,3823444112
1997-04,4624474456
1997-05,4655833845
1997-06,4843614313
1997-07,5238795799
1997-08,5074799308
1997-09,4588311030
1997-10,4793012347
1997-11,3975930433
1997-12,4534287266
1998-01,3916861090
1998-02,3715926053
1998-03,4273985367
1998-04,4576580125
1998-05,4611933252
1998-06,4886364504
1998-07,4970110086
1998-08,3985621684
1998-09,4538094015
1998-10,4016893914
1998-11,3703504560
1998-12,3943986895
1999-01,2949154776
1999-02,3266867013
1999-03,3829412981
1999-04,3706750870
1999-05,4386466597
1999-06,4312612911
1999-07,4117096889
1999-08,4277089174
1999-09,4187087694
1999-10,4304132509
1999-11,4001797406
1999-12,4674321127
2000-01,3453879475
2000-02,4124889858
2000-03,4473245145
2000-04,4183741237
